year,region,co,no2,o3,pm10,pm25,psi,so2,buses,cars,motorcycles,others,RoadCategory,RoadCategory_Counts
2016,central,0.5179681333138431,33.50928226867417,22.920040929688643,23.171612337377578,14.974565122058179,51.13185206841105,10.684402865078205,222672,7568276,1719762,1952114,C,5
2016,central,0.5179681333138431,33.50928226867417,22.920040929688643,23.171612337377578,14.974565122058179,51.13185206841105,10.684402865078205,222672,7568276,1719762,1952114,F,13
2016,east,0.39195146908346734,25.858207864347317,24.540125712615115,24.161964625054818,14.345417336646689,50.94109048384739,11.806607221166496,222672,7568276,1719762,1952114,A,3
2016,east,0.39195146908346734,25.858207864347317,24.540125712615115,24.161964625054818,14.345417336646689,50.94109048384739,11.806607221166496,222672,7568276,1719762,1952114,B,35
2016,east,0.39195146908346734,25.858207864347317,24.540125712615115,24.161964625054818,14.345417336646689,50.94109048384739,11.806607221166496,222672,7568276,1719762,1952114,C,3
2016,east,0.39195146908346734,25.858207864347317,24.540125712615115,24.161964625054818,14.345417336646689,50.94109048384739,11.806607221166496,222672,7568276,1719762,1952114,D,1
2016,east,0.39195146908346734,25.858207864347317,24.540125712615115,24.161964625054818,14.345417336646689,50.94109048384739,11.806607221166496,222672,7568276,1719762,1952114,E,1
2016,east,0.39195146908346734,25.858207864347317,24.540125712615115,24.161964625054818,14.345417336646689,50.94109048384739,11.806607221166496,222672,7568276,1719762,1952114,F,14
2016,east,0.39195146908346734,25.858207864347317,24.540125712615115,24.161964625054818,14.345417336646689,50.94109048384739,11.806607221166496,222672,7568276,1719762,1952114,A,5
2016,east,0.39195146908346734,25.858207864347317,24.540125712615115,24.161964625054818,14.345417336646689,50.94109048384739,11.806607221166496,222672,7568276,1719762,1952114,B,26
2016,east,0.39195146908346734,25.858207864347317,24.540125712615115,24.161964625054818,14.345417336646689,50.94109048384739,11.806607221166496,222672,7568276,1719762,1952114,C,5
2016,east,0.39195146908346734,25.858207864347317,24.540125712615115,24.161964625054818,14.345417336646689,50.94109048384739,11.806607221166496,222672,7568276,1719762,1952114,D,2
2016,east,0.39195146908346734,25.858207864347317,24.540125712615115,24.161964625054818,14.345417336646689,50.94109048384739,11.806607221166496,222672,7568276,1719762,1952114,F,28
2016,east,0.39195146908346734,25.858207864347317,24.540125712615115,24.161964625054818,14.345417336646689,50.94109048384739,11.806607221166496,222672,7568276,1719762,1952114,A,3
2016,east,0.39195146908346734,25.858207864347317,24.540125712615115,24.161964625054818,14.345417336646689,50.94109048384739,11.806607221166496,222672,7568276,1719762,1952114,B,13
2016,east,0.39195146908346734,25.858207864347317,24.540125712615115,24.161964625054818,14.345417336646689,50.94109048384739,11.806607221166496,222672,7568276,1719762,1952114,C,1
2016,east,0.39195146908346734,25.858207864347317,24.540125712615115,24.161964625054818,14.345417336646689,50.94109048384739,11.806607221166496,222672,7568276,1719762,1952114,E,2
2016,east,0.39195146908346734,25.858207864347317,24.540125712615115,24.161964625054818,14.345417336646689,50.94109048384739,11.806607221166496,222672,7568276,1719762,1952114,F,16
2016,east,0.39195146908346734,25.858207864347317,24.540125712615115,24.161964625054818,14.345417336646689,50.94109048384739,11.806607221166496,222672,7568276,1719762,1952114,B,5
